"# seed-averaged: sigma/GV geometric mean (+/- dex), calib_ratio arithmetic mean (+/- std). ratio=1 -> at Poisson floor."
arm,n_seeds,n_used_mean,GV_mean,GV_logstd,sigma_0_mean,sigma_1_mean,sigma_2_mean,sigma_3_mean,sigma_0_logstd,sigma_1_logstd,sigma_2_logstd,sigma_3_logstd,calibratio_0_mean,calibratio_1_mean,calibratio_2_mean,calibratio_3_mean,calibratio_0_std,calibratio_1_std,calibratio_2_std,calibratio_3_std
no_jitter_n1 nsf/std,5,908,5.817195e-10,0.108,3.806374e-03,9.897407e-03,1.616453e-02,7.512495e-03,0.029,0.078,0.055,0.061,0.996,1.267,1.349,1.283,0.148,0.429,0.219,0.467
no_jitter_n1 nsf/raw,5,908,5.528282e-10,0.167,3.787565e-03,9.091335e-03,1.559100e-02,7.359310e-03,0.029,0.115,0.048,0.086,1.308,1.386,1.301,1.023,0.383,0.466,0.330,0.231
no_jitter_n1 gmm/std,5,908,1.741847e-09,0.238,5.482858e-03,1.116596e-02,2.082197e-02,9.842331e-03,0.093,0.079,0.078,0.058,4.303,3.616,3.686,4.341,2.933,1.599,0.928,3.218
no_jitter_n1 gmm/raw,5,908,2.147225e-09,0.365,5.824259e-03,1.138263e-02,2.155554e-02,1.026499e-02,0.132,0.025,0.114,0.079,5.856,2.421,3.550,3.677,5.630,1.072,2.134,2.914
no_jitter_n1 maf/std,5,908,1.871436e-09,0.162,4.950275e-03,1.033878e-02,1.934437e-02,8.204024e-03,0.084,0.062,0.080,0.052,2.927,2.848,3.153,2.671,1.686,0.476,1.446,1.525
no_jitter_n1 maf/raw,5,908,1.041778e-09,0.083,4.394089e-03,9.419382e-03,1.765390e-02,7.539568e-03,0.042,0.091,0.061,0.082,2.031,1.774,2.020,1.361,0.515,0.300,0.617,0.396
