"# seed-averaged: sigma/GV geometric mean (+/- dex), calib_ratio arithmetic mean (+/- std). ratio=1 -> at Poisson floor."
arm,n_seeds,n_used_mean,GV_mean,GV_logstd,sigma_0_mean,sigma_1_mean,sigma_2_mean,sigma_3_mean,sigma_0_logstd,sigma_1_logstd,sigma_2_logstd,sigma_3_logstd,calibratio_0_mean,calibratio_1_mean,calibratio_2_mean,calibratio_3_mean,calibratio_0_std,calibratio_1_std,calibratio_2_std,calibratio_3_std
arm_cnn_mse_no_jitter_n1 gmm/std,5,861,1.088117e-04,0.285,1.049430e-01,1.115234e-01,1.855188e-01,1.079883e-01,0.100,0.089,0.030,0.103,3.018,2.126,4.706,3.092,0.955,0.345,0.876,0.681
arm_cnn_mse_no_jitter_n1 gmm/raw,5,861,1.028122e-04,0.273,1.058497e-01,1.147798e-01,1.915668e-01,1.074428e-01,0.100,0.087,0.044,0.074,3.448,2.764,4.694,2.629,0.934,0.531,1.167,0.592
arm_cnn_mse_no_jitter_n1 nsf/std,5,861,5.530588e-05,0.357,9.366522e-02,1.045406e-01,1.720047e-01,9.566528e-02,0.104,0.093,0.049,0.084,2.448,2.271,4.117,2.293,1.075,0.526,1.242,0.745
arm_cnn_mse_no_jitter_n1 nsf/raw,5,861,6.517165e-05,0.307,9.792752e-02,1.071578e-01,1.751387e-01,1.004846e-01,0.103,0.101,0.043,0.088,2.719,2.147,3.817,2.418,1.097,0.334,1.265,0.733
