[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s2/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.1240 | eta 12.4 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -1.1567 | eta 12.8 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.9286 | eta 12.3 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.4593 | eta 10.3 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.8882 | eta 8.5 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.2451 | eta 8.0 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.5462 | eta 8.1 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.8059 | eta 8.8 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.0334 | eta 8.0 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.2304 | eta 8.1 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.4106 | eta 7.0 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.5689 | eta 6.5 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.7087 | eta 5.9 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.8370 | eta 5.6 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -4.9540 | eta 5.0 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.0620 | eta 4.8 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.1585 | eta 4.5 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.2512 | eta 3.6 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.3339 | eta 4.5 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.4134 | eta 2.9 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.4907 | eta 2.4 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.5648 | eta 1.7 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.6399 | eta 1.2 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.7121 | eta 0.8 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.7827 | eta 0.3 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -5.8287 | val -7.1890
  saved best (-7.1890) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -7.6715 | eta 12.0 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.7135 | eta 12.0 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -7.7712 | eta 10.0 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -7.8010 | eta 9.9 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -7.8391 | eta 9.8 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -7.8760 | eta 8.5 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -7.9136 | eta 9.3 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -7.9443 | eta 8.8 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -7.9754 | eta 8.4 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -8.0078 | eta 7.5 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -8.0375 | eta 6.9 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -8.0620 | eta 6.2 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -8.0865 | eta 6.7 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -8.1069 | eta 6.4 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -8.1276 | eta 5.8 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -8.1528 | eta 4.9 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -8.1755 | eta 3.8 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -8.1988 | eta 4.0 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -8.2208 | eta 3.3 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -8.2388 | eta 2.9 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -8.2576 | eta 2.5 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -8.2750 | eta 1.6 min [nsf p1 chunk 2/10]
  batch 23000/25650 | loss -8.2945 | eta 1.4 min [nsf p1 chunk 2/10]
  batch 24000/25650 | loss -8.3097 | eta 0.8 min [nsf p1 chunk 2/10]
  batch 25000/25650 | loss -8.3256 | eta 0.3 min [nsf p1 chunk 2/10]
[nsf|p1] chunk 2/10 | train -8.3346 | val -8.3493
  saved best (-8.3493) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -8.7935 | eta 12.5 min [nsf p1 chunk 3/10]
  batch 2000/25650 | loss -8.7820 | eta 10.6 min [nsf p1 chunk 3/10]
  batch 3000/25650 | loss -8.7932 | eta 10.9 min [nsf p1 chunk 3/10]
  batch 4000/25650 | loss -8.7994 | eta 9.8 min [nsf p1 chunk 3/10]
  batch 5000/25650 | loss -8.7932 | eta 10.0 min [nsf p1 chunk 3/10]
  batch 6000/25650 | loss -8.8022 | eta 9.3 min [nsf p1 chunk 3/10]
  batch 7000/25650 | loss -8.8163 | eta 8.7 min [nsf p1 chunk 3/10]
  batch 8000/25650 | loss -8.8193 | eta 8.5 min [nsf p1 chunk 3/10]
  batch 9000/25650 | loss -8.8246 | eta 7.7 min [nsf p1 chunk 3/10]
  batch 10000/25650 | loss -8.8356 | eta 7.1 min [nsf p1 chunk 3/10]
  batch 11000/25650 | loss -8.8454 | eta 7.0 min [nsf p1 chunk 3/10]
  batch 12000/25650 | loss -8.8557 | eta 7.5 min [nsf p1 chunk 3/10]
  batch 13000/25650 | loss -8.8635 | eta 6.3 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -8.8720 | eta 6.9 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.8797 | eta 5.4 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.8875 | eta 5.0 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.8919 | eta 4.0 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -8.8989 | eta 3.9 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -8.9068 | eta 2.8 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -8.9103 | eta 2.3 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -8.9199 | eta 1.9 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -8.9254 | eta 1.5 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -8.9337 | eta 1.1 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -8.9365 | eta 0.7 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -8.9423 | eta 0.3 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -8.9453 | val -7.3475
  batch 1000/25650 | loss -9.1692 | eta 12.8 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -9.1399 | eta 11.5 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -9.1408 | eta 19.0 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -9.1492 | eta 10.4 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -9.1608 | eta 9.3 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -9.1658 | eta 10.1 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -9.1759 | eta 8.5 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -9.1791 | eta 8.2 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -9.1828 | eta 9.0 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -9.1874 | eta 8.4 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -9.1928 | eta 8.2 min [nsf p1 chunk 4/10]
  batch 12000/25650 | loss -9.1952 | eta 7.2 min [nsf p1 chunk 4/10]
  batch 13000/25650 | loss -9.1937 | eta 6.8 min [nsf p1 chunk 4/10]
  batch 14000/25650 | loss -9.1932 | eta 6.2 min [nsf p1 chunk 4/10]
  batch 15000/25650 | loss -9.1958 | eta 5.8 min [nsf p1 chunk 4/10]
  batch 16000/25650 | loss -9.1966 | eta 5.2 min [nsf p1 chunk 4/10]
  batch 17000/25650 | loss -9.2012 | eta 4.7 min [nsf p1 chunk 4/10]
  batch 18000/25650 | loss -9.2036 | eta 3.5 min [nsf p1 chunk 4/10]
  batch 19000/25650 | loss -9.2091 | eta 2.7 min [nsf p1 chunk 4/10]
  batch 20000/25650 | loss -9.2116 | eta 2.3 min [nsf p1 chunk 4/10]
  batch 21000/25650 | loss -9.2145 | eta 1.9 min [nsf p1 chunk 4/10]
  batch 22000/25650 | loss -9.2186 | eta 1.5 min [nsf p1 chunk 4/10]
  batch 23000/25650 | loss -9.2231 | eta 1.1 min [nsf p1 chunk 4/10]
  batch 24000/25650 | loss -9.2281 | eta 0.7 min [nsf p1 chunk 4/10]
  batch 25000/25650 | loss -9.2321 | eta 0.3 min [nsf p1 chunk 4/10]
[nsf|p1] chunk 4/10 | train -9.2328 | val -8.7634
  saved best (-8.7634) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -9.3389 | eta 10.8 min [nsf p1 chunk 5/10]
  batch 2000/25650 | loss -9.3365 | eta 10.4 min [nsf p1 chunk 5/10]
  batch 3000/25650 | loss -9.3381 | eta 10.2 min [nsf p1 chunk 5/10]
  batch 4000/25650 | loss -9.3517 | eta 10.1 min [nsf p1 chunk 5/10]
  batch 5000/25650 | loss -9.3570 | eta 9.9 min [nsf p1 chunk 5/10]
  batch 6000/25650 | loss -9.3581 | eta 9.0 min [nsf p1 chunk 5/10]
  batch 7000/25650 | loss -9.3623 | eta 12.5 min [nsf p1 chunk 5/10]
  batch 8000/25650 | loss -9.3576 | eta 7.8 min [nsf p1 chunk 5/10]
  batch 9000/25650 | loss -9.3598 | eta 7.3 min [nsf p1 chunk 5/10]
  batch 10000/25650 | loss -9.3586 | eta 6.8 min [nsf p1 chunk 5/10]
  batch 11000/25650 | loss -9.3625 | eta 6.5 min [nsf p1 chunk 5/10]
  batch 12000/25650 | loss -9.3659 | eta 5.9 min [nsf p1 chunk 5/10]
  batch 13000/25650 | loss -9.3701 | eta 5.5 min [nsf p1 chunk 5/10]
  batch 14000/25650 | loss -9.3774 | eta 5.1 min [nsf p1 chunk 5/10]
  batch 15000/25650 | loss -9.3805 | eta 4.9 min [nsf p1 chunk 5/10]
  batch 16000/25650 | loss -9.3864 | eta 4.5 min [nsf p1 chunk 5/10]
  batch 17000/25650 | loss -9.3897 | eta 4.7 min [nsf p1 chunk 5/10]
  batch 18000/25650 | loss -9.3968 | eta 4.0 min [nsf p1 chunk 5/10]
  batch 19000/25650 | loss -9.3970 | eta 3.5 min [nsf p1 chunk 5/10]
  batch 20000/25650 | loss -9.4025 | eta 2.7 min [nsf p1 chunk 5/10]
  batch 21000/25650 | loss -9.4078 | eta 2.3 min [nsf p1 chunk 5/10]
  batch 22000/25650 | loss -9.4111 | eta 1.9 min [nsf p1 chunk 5/10]
  batch 23000/25650 | loss -9.4141 | eta 1.2 min [nsf p1 chunk 5/10]
  batch 24000/25650 | loss -9.4176 | eta 0.9 min [nsf p1 chunk 5/10]
  batch 25000/25650 | loss -9.4196 | eta 0.3 min [nsf p1 chunk 5/10]
[nsf|p1] chunk 5/10 | train -9.4213 | val -8.6604
  batch 1000/25650 | loss -9.4971 | eta 10.9 min [nsf p1 chunk 6/10]
  batch 2000/25650 | loss -9.5221 | eta 10.9 min [nsf p1 chunk 6/10]
  batch 3000/25650 | loss -9.5268 | eta 10.4 min [nsf p1 chunk 6/10]
  batch 4000/25650 | loss -9.5236 | eta 9.3 min [nsf p1 chunk 6/10]
  batch 5000/25650 | loss -9.5246 | eta 9.5 min [nsf p1 chunk 6/10]
  batch 6000/25650 | loss -9.5266 | eta 8.9 min [nsf p1 chunk 6/10]
  batch 7000/25650 | loss -9.5289 | eta 8.0 min [nsf p1 chunk 6/10]
  batch 8000/25650 | loss -9.5366 | eta 7.7 min [nsf p1 chunk 6/10]
  batch 9000/25650 | loss -9.5416 | eta 8.0 min [nsf p1 chunk 6/10]
