[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s1 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s1/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.8651 | eta 9.2 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -0.3860 | eta 8.6 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.1921 | eta 8.7 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -1.7458 | eta 8.1 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.1792 | eta 7.5 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -2.5437 | eta 7.2 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -2.8491 | eta 6.8 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.1163 | eta 6.4 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -3.3572 | eta 6.1 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -3.5691 | eta 5.7 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -3.7622 | eta 5.3 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -3.9395 | eta 5.0 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.0995 | eta 4.6 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.2531 | eta 4.2 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -4.3935 | eta 3.9 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -4.5280 | eta 3.5 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -4.6526 | eta 3.4 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -4.7641 | eta 2.8 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -4.8691 | eta 2.5 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -4.9652 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.0611 | eta 1.7 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.1467 | eta 1.3 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.2303 | eta 1.0 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.3097 | eta 0.6 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.3857 | eta 0.3 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -5.4342 | val -7.0201
  saved best (-7.0201) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -7.3306 | eta 9.3 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.3769 | eta 8.8 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -7.3933 | eta 8.7 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -7.4232 | eta 8.3 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -7.4591 | eta 8.0 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -7.4797 | eta 8.9 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -7.5069 | eta 6.9 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -7.5290 | eta 6.6 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -7.5569 | eta 7.0 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -7.5810 | eta 7.5 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -7.6073 | eta 7.2 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -7.6275 | eta 6.7 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -7.6519 | eta 5.1 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -7.6746 | eta 4.3 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -7.6940 | eta 4.0 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -7.7181 | eta 4.5 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -7.7394 | eta 3.3 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -7.7589 | eta 2.9 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -7.7832 | eta 2.5 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -7.7988 | eta 2.4 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -7.8176 | eta 2.0 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -7.8370 | eta 1.4 min [nsf p1 chunk 2/10]
  batch 23000/25650 | loss -7.8566 | eta 1.0 min [nsf p1 chunk 2/10]
  batch 24000/25650 | loss -7.8729 | eta 0.6 min [nsf p1 chunk 2/10]
  batch 25000/25650 | loss -7.8889 | eta 0.2 min [nsf p1 chunk 2/10]
[nsf|p1] chunk 2/10 | train -7.8980 | val -7.6855
  saved best (-7.6855) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s1/nle/standard_t/nsf
  batch 1000/25650 | loss -8.3585 | eta 9.4 min [nsf p1 chunk 3/10]
  batch 2000/25650 | loss -8.3508 | eta 8.9 min [nsf p1 chunk 3/10]
  batch 3000/25650 | loss -8.3621 | eta 8.4 min [nsf p1 chunk 3/10]
  batch 4000/25650 | loss -8.3722 | eta 8.1 min [nsf p1 chunk 3/10]
  batch 5000/25650 | loss -8.3762 | eta 7.9 min [nsf p1 chunk 3/10]
