[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s4 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s4/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.3473 | eta 6.7 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -0.7743 | eta 5.9 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.5444 | eta 5.6 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.0885 | eta 5.4 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.5203 | eta 5.2 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -2.8680 | eta 4.9 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.1631 | eta 4.7 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.4255 | eta 4.3 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -3.6484 | eta 4.1 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -3.8417 | eta 3.9 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.0115 | eta 3.6 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.1682 | eta 3.4 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.3150 | eta 3.1 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.4497 | eta 2.9 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -4.5773 | eta 2.6 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -4.6968 | eta 10.8 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -4.8078 | eta 8.3 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -4.9099 | eta 2.0 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.0047 | eta 1.6 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.0953 | eta 1.4 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.1787 | eta 1.1 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.2588 | eta 0.9 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.3382 | eta 0.7 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.4119 | eta 0.4 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.4856 | eta 0.2 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -5.5333 | val -6.5245
