[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s3 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.3643 | eta 19.8 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -0.9380 | eta 18.7 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.7693 | eta 17.8 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.4171 | eta 16.9 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.9471 | eta 24.0 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.3825 | eta 15.5 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.7376 | eta 14.7 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -4.0387 | eta 13.7 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.2953 | eta 13.0 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.5242 | eta 12.3 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.7239 | eta 115.7 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.9067 | eta 132.8 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -5.0642 | eta 123.0 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -5.2105 | eta 113.2 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -5.3486 | eta 103.6 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.4760 | eta 93.9 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.5925 | eta 69.4 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.6983 | eta 74.4 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.7966 | eta 64.7 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.8863 | eta 53.4 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.9728 | eta 45.2 min [nsf p1 chunk 1/10]
