[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s2 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf =====
  batch 13000/25650 | loss -8.6615 | eta 3.0 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -8.6680 | eta 2.8 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.6727 | eta 2.5 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.6791 | eta 2.3 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.6848 | eta 2.1 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -8.6886 | eta 1.8 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -8.6945 | eta 1.6 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -8.6989 | eta 1.3 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -8.7063 | eta 1.1 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -8.7111 | eta 0.9 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -8.7173 | eta 0.6 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -8.7223 | eta 0.4 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -8.7275 | eta 0.2 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -8.7315 | val -8.2591
  saved best (-8.2591) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -8.8942 | eta 6.1 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -8.9044 | eta 5.9 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -8.9087 | eta 5.6 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -8.9044 | eta 5.4 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -8.9167 | eta 5.2 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -8.9258 | eta 4.9 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -8.9315 | eta 4.5 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -8.9350 | eta 4.2 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -8.9399 | eta 4.1 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -8.9375 | eta 3.8 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -8.9427 | eta 3.6 min [nsf p1 chunk 4/10]
  batch 12000/25650 | loss -8.9443 | eta 3.3 min [nsf p1 chunk 4/10]
  batch 13000/25650 | loss -8.9403 | eta 3.1 min [nsf p1 chunk 4/10]
  batch 14000/25650 | loss -8.9396 | eta 2.9 min [nsf p1 chunk 4/10]
  batch 15000/25650 | loss -8.9417 | eta 2.7 min [nsf p1 chunk 4/10]
  batch 16000/25650 | loss -8.9451 | eta 2.4 min [nsf p1 chunk 4/10]
  batch 17000/25650 | loss -8.9480 | eta 2.1 min [nsf p1 chunk 4/10]
  batch 18000/25650 | loss -8.9502 | eta 1.9 min [nsf p1 chunk 4/10]
  batch 19000/25650 | loss -8.9533 | eta 1.6 min [nsf p1 chunk 4/10]
  batch 20000/25650 | loss -8.9563 | eta 1.4 min [nsf p1 chunk 4/10]
  batch 21000/25650 | loss -8.9593 | eta 1.1 min [nsf p1 chunk 4/10]
  batch 22000/25650 | loss -8.9637 | eta 0.9 min [nsf p1 chunk 4/10]
  batch 23000/25650 | loss -8.9673 | eta 0.7 min [nsf p1 chunk 4/10]
  batch 24000/25650 | loss -8.9721 | eta 0.4 min [nsf p1 chunk 4/10]
  batch 25000/25650 | loss -8.9751 | eta 0.2 min [nsf p1 chunk 4/10]
[nsf|p1] chunk 4/10 | train -8.9768 | val -8.6606
  saved best (-8.6606) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -9.0389 | eta 6.1 min [nsf p1 chunk 5/10]
  batch 2000/25650 | loss -9.0513 | eta 5.7 min [nsf p1 chunk 5/10]
  batch 3000/25650 | loss -9.0621 | eta 5.4 min [nsf p1 chunk 5/10]
  batch 4000/25650 | loss -9.0768 | eta 5.3 min [nsf p1 chunk 5/10]
  batch 5000/25650 | loss -9.0817 | eta 5.0 min [nsf p1 chunk 5/10]
  batch 6000/25650 | loss -9.0815 | eta 4.8 min [nsf p1 chunk 5/10]
  batch 7000/25650 | loss -9.0875 | eta 4.5 min [nsf p1 chunk 5/10]
  batch 8000/25650 | loss -9.0834 | eta 4.2 min [nsf p1 chunk 5/10]
  batch 9000/25650 | loss -9.0904 | eta 4.1 min [nsf p1 chunk 5/10]
  batch 10000/25650 | loss -9.0885 | eta 3.7 min [nsf p1 chunk 5/10]
  batch 11000/25650 | loss -9.0925 | eta 3.6 min [nsf p1 chunk 5/10]
  batch 12000/25650 | loss -9.0948 | eta 3.3 min [nsf p1 chunk 5/10]
  batch 13000/25650 | loss -9.0956 | eta 3.1 min [nsf p1 chunk 5/10]
  batch 14000/25650 | loss -9.1034 | eta 2.8 min [nsf p1 chunk 5/10]
  batch 15000/25650 | loss -9.1057 | eta 2.6 min [nsf p1 chunk 5/10]
  batch 16000/25650 | loss -9.1103 | eta 2.4 min [nsf p1 chunk 5/10]
  batch 17000/25650 | loss -9.1144 | eta 2.1 min [nsf p1 chunk 5/10]
  batch 18000/25650 | loss -9.1186 | eta 1.9 min [nsf p1 chunk 5/10]
  batch 19000/25650 | loss -9.1174 | eta 1.6 min [nsf p1 chunk 5/10]
  batch 20000/25650 | loss -9.1231 | eta 1.4 min [nsf p1 chunk 5/10]
  batch 21000/25650 | loss -9.1275 | eta 1.2 min [nsf p1 chunk 5/10]
  batch 22000/25650 | loss -9.1295 | eta 0.9 min [nsf p1 chunk 5/10]
  batch 23000/25650 | loss -9.1327 | eta 0.6 min [nsf p1 chunk 5/10]
  batch 24000/25650 | loss -9.1344 | eta 0.4 min [nsf p1 chunk 5/10]
  batch 25000/25650 | loss -9.1378 | eta 0.2 min [nsf p1 chunk 5/10]
[nsf|p1] chunk 5/10 | train -9.1390 | val -8.7107
  saved best (-8.7107) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s2/nle/standard_t/nsf
  batch 1000/25650 | loss -9.2019 | eta 6.0 min [nsf p1 chunk 6/10]
  batch 2000/25650 | loss -9.2029 | eta 5.9 min [nsf p1 chunk 6/10]
  batch 3000/25650 | loss -9.2146 | eta 5.6 min [nsf p1 chunk 6/10]
  batch 4000/25650 | loss -9.2167 | eta 5.3 min [nsf p1 chunk 6/10]
  batch 5000/25650 | loss -9.2218 | eta 5.1 min [nsf p1 chunk 6/10]
  batch 6000/25650 | loss -9.2179 | eta 4.9 min [nsf p1 chunk 6/10]
  batch 7000/25650 | loss -9.2219 | eta 4.6 min [nsf p1 chunk 6/10]
  batch 8000/25650 | loss -9.2282 | eta 4.5 min [nsf p1 chunk 6/10]
  batch 9000/25650 | loss -9.2295 | eta 4.2 min [nsf p1 chunk 6/10]
  batch 10000/25650 | loss -9.2301 | eta 3.9 min [nsf p1 chunk 6/10]
  batch 11000/25650 | loss -9.2329 | eta 3.7 min [nsf p1 chunk 6/10]
  batch 12000/25650 | loss -9.2361 | eta 3.4 min [nsf p1 chunk 6/10]
  batch 13000/25650 | loss -9.2370 | eta 3.2 min [nsf p1 chunk 6/10]
  batch 14000/25650 | loss -9.2410 | eta 2.9 min [nsf p1 chunk 6/10]
  batch 15000/25650 | loss -9.2430 | eta 2.7 min [nsf p1 chunk 6/10]
