[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s0 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s0/nle/standard_t/nsf =====
  batch 14000/25650 | loss -8.3507 | eta 13.0 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.3607 | eta 9.1 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.3643 | eta 10.5 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.3718 | eta 7.4 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -8.3801 | eta 6.1 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -8.3845 | eta 5.3 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -8.3876 | eta 4.5 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -8.3947 | eta 3.7 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -8.4015 | eta 3.1 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -8.4084 | eta 2.3 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -8.4154 | eta 1.3 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -8.4214 | eta 0.5 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -8.4234 | val -8.0764
  saved best (-8.0764) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s0/nle/standard_t/nsf
  batch 1000/25650 | loss -8.5711 | eta 19.7 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -8.5848 | eta 18.9 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -8.5636 | eta 18.3 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -8.5719 | eta 17.3 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -8.5903 | eta 16.5 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -8.6004 | eta 15.7 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -8.6134 | eta 14.8 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -8.6179 | eta 14.0 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -8.6240 | eta 13.3 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -8.6279 | eta 12.5 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -8.6338 | eta 11.7 min [nsf p1 chunk 4/10]
  batch 12000/25650 | loss -8.6350 | eta 10.9 min [nsf p1 chunk 4/10]
  batch 13000/25650 | loss -8.6373 | eta 10.1 min [nsf p1 chunk 4/10]
  batch 14000/25650 | loss -8.6379 | eta 9.2 min [nsf p1 chunk 4/10]
  batch 15000/25650 | loss -8.6417 | eta 8.5 min [nsf p1 chunk 4/10]
  batch 16000/25650 | loss -8.6421 | eta 7.8 min [nsf p1 chunk 4/10]
  batch 17000/25650 | loss -8.6462 | eta 6.9 min [nsf p1 chunk 4/10]
  batch 18000/25650 | loss -8.6483 | eta 6.1 min [nsf p1 chunk 4/10]
  batch 19000/25650 | loss -8.6510 | eta 5.3 min [nsf p1 chunk 4/10]
  batch 20000/25650 | loss -8.6533 | eta 4.5 min [nsf p1 chunk 4/10]
  batch 21000/25650 | loss -8.6581 | eta 3.7 min [nsf p1 chunk 4/10]
  batch 22000/25650 | loss -8.6626 | eta 2.9 min [nsf p1 chunk 4/10]
  batch 23000/25650 | loss -8.6681 | eta 2.1 min [nsf p1 chunk 4/10]
  batch 24000/25650 | loss -8.6729 | eta 1.3 min [nsf p1 chunk 4/10]
  batch 25000/25650 | loss -8.6773 | eta 0.5 min [nsf p1 chunk 4/10]
[nsf|p1] chunk 4/10 | train -8.6798 | val -8.0296
  batch 1000/25650 | loss -8.7502 | eta 19.7 min [nsf p1 chunk 5/10]
