[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s4 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s4/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.3198 | eta 10.6 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -0.8165 | eta 10.3 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.5117 | eta 9.1 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.0246 | eta 9.2 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.4563 | eta 8.6 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -2.8337 | eta 7.8 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.1595 | eta 7.5 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.4425 | eta 7.0 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -3.7016 | eta 7.0 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -3.9280 | eta 6.2 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.1411 | eta 6.0 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.3384 | eta 5.4 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.5174 | eta 5.0 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.6797 | eta 4.7 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -4.8372 | eta 4.9 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -4.9812 | eta 4.6 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.1140 | eta 3.7 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.2369 | eta 3.3 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.3492 | eta 2.9 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.4534 | eta 2.4 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.5512 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.6404 | eta 1.6 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.7267 | eta 1.2 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.8077 | eta 0.7 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.8849 | eta 0.3 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -5.9351 | val -7.3146
  saved best (-7.3146) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s4/nle/standard_t/nsf
  batch 1000/25650 | loss -7.8347 | eta 11.0 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.8602 | eta 10.5 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -7.8726 | eta 9.9 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -7.8897 | eta 10.8 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -7.9172 | eta 8.9 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -7.9353 | eta 8.9 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -7.9579 | eta 7.9 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -7.9718 | eta 7.5 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -7.9759 | eta 7.5 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -7.9978 | eta 6.7 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -8.0200 | eta 6.2 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -8.0323 | eta 5.8 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -8.0496 | eta 5.4 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -8.0635 | eta 5.1 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -8.0763 | eta 4.7 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -8.0937 | eta 4.0 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -8.1056 | eta 3.6 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -8.1209 | eta 3.2 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -8.1356 | eta 3.0 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -8.1481 | eta 2.4 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -8.1606 | eta 2.0 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -8.1708 | eta 1.5 min [nsf p1 chunk 2/10]
  batch 23000/25650 | loss -8.1821 | eta 1.1 min [nsf p1 chunk 2/10]
  batch 24000/25650 | loss -8.1935 | eta 0.7 min [nsf p1 chunk 2/10]
  batch 25000/25650 | loss -8.2041 | eta 0.3 min [nsf p1 chunk 2/10]
[nsf|p1] chunk 2/10 | train -8.2106 | val -7.9018
  saved best (-7.9018) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s4/nle/standard_t/nsf
  batch 1000/25650 | loss -8.5624 | eta 16.2 min [nsf p1 chunk 3/10]
  batch 2000/25650 | loss -8.5389 | eta 10.4 min [nsf p1 chunk 3/10]
  batch 3000/25650 | loss -8.5547 | eta 10.5 min [nsf p1 chunk 3/10]
  batch 4000/25650 | loss -8.5486 | eta 9.7 min [nsf p1 chunk 3/10]
  batch 5000/25650 | loss -8.5542 | eta 9.2 min [nsf p1 chunk 3/10]
  batch 6000/25650 | loss -8.5673 | eta 8.8 min [nsf p1 chunk 3/10]
  batch 7000/25650 | loss -8.5706 | eta 8.4 min [nsf p1 chunk 3/10]
  batch 8000/25650 | loss -8.5719 | eta 7.6 min [nsf p1 chunk 3/10]
  batch 9000/25650 | loss -8.5735 | eta 7.8 min [nsf p1 chunk 3/10]
  batch 10000/25650 | loss -8.5895 | eta 7.1 min [nsf p1 chunk 3/10]
  batch 11000/25650 | loss -8.5958 | eta 6.7 min [nsf p1 chunk 3/10]
  batch 12000/25650 | loss -8.6043 | eta 6.0 min [nsf p1 chunk 3/10]
  batch 13000/25650 | loss -8.6131 | eta 5.5 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -8.6195 | eta 5.2 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.6283 | eta 4.6 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.6353 | eta 4.2 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.6400 | eta 4.0 min [nsf p1 chunk 3/10]
