[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s3 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s3/nle/standard_t/nsf =====
  batch 1000/25650 | loss -0.0532 | eta 6.6 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -1.3778 | eta 5.9 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -2.2364 | eta 5.8 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.8524 | eta 5.1 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -3.3110 | eta 5.2 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.6871 | eta 4.8 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.9964 | eta 4.6 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -4.2614 | eta 4.2 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.4940 | eta 3.9 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.6906 | eta 3.7 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.8666 | eta 3.5 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -5.0331 | eta 3.4 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -5.1776 | eta 3.0 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -5.3147 | eta 2.8 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -5.4457 | eta 2.6 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.5655 | eta 2.4 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.6751 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.7790 | eta 1.9 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.8707 | eta 1.7 min [nsf p1 chunk 1/10]
