[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s3 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.3643 | eta 63.9 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -0.9380 | eta 183.6 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.7693 | eta 225.8 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.4171 | eta 27.6 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.9471 | eta 16.9 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.3825 | eta 16.7 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.7376 | eta 60.1 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -4.0387 | eta 60.1 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.2953 | eta 54.9 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.5242 | eta 112.2 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.7239 | eta 152.8 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.9067 | eta 134.0 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -5.0642 | eta 132.4 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -5.2105 | eta 78.8 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -5.3486 | eta 23.0 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.4760 | eta 7.7 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.5925 | eta 6.9 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.6983 | eta 6.1 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.7966 | eta 5.3 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.8863 | eta 4.5 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.9728 | eta 3.8 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -6.0530 | eta 8.7 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -6.1311 | eta 6.7 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -6.2036 | eta 2.7 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -6.2733 | eta 0.5 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -6.3176 | val -7.4370
  saved best (-7.4370) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf
  batch 1000/25650 | loss -7.9929 | eta 30.1 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -8.0412 | eta 19.2 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -8.0700 | eta 18.3 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -8.0655 | eta 17.5 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -8.0910 | eta 88.7 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -8.1059 | eta 119.8 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -8.1171 | eta 138.3 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -8.1348 | eta 180.8 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -8.1482 | eta 179.2 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -8.1598 | eta 141.9 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -8.1824 | eta 124.1 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -8.1968 | eta 13.1 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -8.2115 | eta 34.4 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -8.2234 | eta 56.5 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -8.2374 | eta 117.4 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -8.2506 | eta 26.8 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -8.2633 | eta 16.5 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -8.2762 | eta 53.2 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -8.2923 | eta 53.2 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -8.3061 | eta 6.2 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -8.3187 | eta 4.1 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -8.3303 | eta 16.0 min [nsf p1 chunk 2/10]
  batch 23000/25650 | loss -8.3438 | eta 29.2 min [nsf p1 chunk 2/10]
  batch 24000/25650 | loss -8.3516 | eta 10.1 min [nsf p1 chunk 2/10]
  batch 25000/25650 | loss -8.3615 | eta 5.9 min [nsf p1 chunk 2/10]
[nsf|p1] chunk 2/10 | train -8.3682 | val -8.3262
  saved best (-8.3262) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf
  batch 1000/25650 | loss -8.6334 | eta 95.3 min [nsf p1 chunk 3/10]
  batch 2000/25650 | loss -8.6593 | eta 197.2 min [nsf p1 chunk 3/10]
  batch 3000/25650 | loss -8.6736 | eta 232.7 min [nsf p1 chunk 3/10]
  batch 4000/25650 | loss -8.6894 | eta 184.7 min [nsf p1 chunk 3/10]
  batch 5000/25650 | loss -8.6916 | eta 105.2 min [nsf p1 chunk 3/10]
  batch 6000/25650 | loss -8.6930 | eta 208.6 min [nsf p1 chunk 3/10]
  batch 7000/25650 | loss -8.7057 | eta 198.0 min [nsf p1 chunk 3/10]
  batch 8000/25650 | loss -8.7164 | eta 187.6 min [nsf p1 chunk 3/10]
  batch 9000/25650 | loss -8.7200 | eta 177.1 min [nsf p1 chunk 3/10]
  batch 10000/25650 | loss -8.7359 | eta 166.4 min [nsf p1 chunk 3/10]
  batch 11000/25650 | loss -8.7451 | eta 154.1 min [nsf p1 chunk 3/10]
  batch 12000/25650 | loss -8.7491 | eta 144.3 min [nsf p1 chunk 3/10]
  batch 13000/25650 | loss -8.7548 | eta 135.6 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -8.7614 | eta 104.2 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.7687 | eta 73.0 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.7755 | eta 29.5 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.7807 | eta 69.7 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -8.7872 | eta 41.2 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -8.7961 | eta 9.9 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -8.8019 | eta 5.0 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -8.8102 | eta 6.5 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -8.8158 | eta 16.9 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -8.8239 | eta 27.4 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -8.8323 | eta 14.1 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -8.8388 | eta 5.9 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -8.8420 | val -8.6627
  saved best (-8.6627) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf
  batch 1000/25650 | loss -9.0078 | eta 164.3 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -8.9948 | eta 19.7 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -8.9958 | eta 44.8 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -8.9967 | eta 49.5 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -9.0125 | eta 42.1 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -9.0268 | eta 31.9 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -9.0307 | eta 106.7 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -9.0388 | eta 31.5 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -9.0458 | eta 86.8 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -9.0463 | eta 163.0 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -9.0556 | eta 155.5 min [nsf p1 chunk 4/10]
  batch 12000/25650 | loss -9.0609 | eta 144.8 min [nsf p1 chunk 4/10]
  batch 13000/25650 | loss -9.0622 | eta 73.4 min [nsf p1 chunk 4/10]
  batch 14000/25650 | loss -9.0636 | eta 10.8 min [nsf p1 chunk 4/10]
  batch 15000/25650 | loss -9.0669 | eta 79.7 min [nsf p1 chunk 4/10]
  batch 16000/25650 | loss -9.0729 | eta 102.4 min [nsf p1 chunk 4/10]
  batch 17000/25650 | loss -9.0786 | eta 19.6 min [nsf p1 chunk 4/10]
  batch 18000/25650 | loss -9.0800 | eta 47.5 min [nsf p1 chunk 4/10]
  batch 19000/25650 | loss -9.0840 | eta 49.4 min [nsf p1 chunk 4/10]
  batch 20000/25650 | loss -9.0882 | eta 4.6 min [nsf p1 chunk 4/10]
  batch 21000/25650 | loss -9.0926 | eta 3.8 min [nsf p1 chunk 4/10]
  batch 22000/25650 | loss -9.0978 | eta 3.3 min [nsf p1 chunk 4/10]
  batch 23000/25650 | loss -9.1037 | eta 20.6 min [nsf p1 chunk 4/10]
  batch 24000/25650 | loss -9.1074 | eta 3.7 min [nsf p1 chunk 4/10]
  batch 25000/25650 | loss -9.1126 | eta 0.5 min [nsf p1 chunk 4/10]
[nsf|p1] chunk 4/10 | train -9.1153 | val -8.4419
  batch 1000/25650 | loss -9.2006 | eta 21.2 min [nsf p1 chunk 5/10]
  batch 2000/25650 | loss -9.2180 | eta 78.2 min [nsf p1 chunk 5/10]
  batch 3000/25650 | loss -9.2240 | eta 25.0 min [nsf p1 chunk 5/10]
  batch 4000/25650 | loss -9.2360 | eta 28.7 min [nsf p1 chunk 5/10]
  batch 5000/25650 | loss -9.2424 | eta 16.9 min [nsf p1 chunk 5/10]
  batch 6000/25650 | loss -9.2466 | eta 16.4 min [nsf p1 chunk 5/10]
  batch 7000/25650 | loss -9.2455 | eta 15.2 min [nsf p1 chunk 5/10]
  batch 8000/25650 | loss -9.2439 | eta 14.5 min [nsf p1 chunk 5/10]
  batch 9000/25650 | loss -9.2495 | eta 13.5 min [nsf p1 chunk 5/10]
  batch 10000/25650 | loss -9.2486 | eta 12.7 min [nsf p1 chunk 5/10]
  batch 11000/25650 | loss -9.2546 | eta 16.7 min [nsf p1 chunk 5/10]
  batch 12000/25650 | loss -9.2543 | eta 52.2 min [nsf p1 chunk 5/10]
  batch 13000/25650 | loss -9.2572 | eta 63.6 min [nsf p1 chunk 5/10]
  batch 14000/25650 | loss -9.2616 | eta 96.1 min [nsf p1 chunk 5/10]
  batch 15000/25650 | loss -9.2615 | eta 45.0 min [nsf p1 chunk 5/10]
  batch 16000/25650 | loss -9.2669 | eta 65.2 min [nsf p1 chunk 5/10]
  batch 17000/25650 | loss -9.2701 | eta 81.9 min [nsf p1 chunk 5/10]
  batch 18000/25650 | loss -9.2754 | eta 62.9 min [nsf p1 chunk 5/10]
  batch 19000/25650 | loss -9.2761 | eta 35.8 min [nsf p1 chunk 5/10]
  batch 20000/25650 | loss -9.2823 | eta 4.5 min [nsf p1 chunk 5/10]
  batch 21000/25650 | loss -9.2856 | eta 41.2 min [nsf p1 chunk 5/10]
  batch 22000/25650 | loss -9.2869 | eta 28.5 min [nsf p1 chunk 5/10]
  batch 23000/25650 | loss -9.2879 | eta 2.1 min [nsf p1 chunk 5/10]
  batch 24000/25650 | loss -9.2935 | eta 1.3 min [nsf p1 chunk 5/10]
  batch 25000/25650 | loss -9.2969 | eta 4.2 min [nsf p1 chunk 5/10]
[nsf|p1] chunk 5/10 | train -9.2993 | val -8.8000
  saved best (-8.8000) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf
  batch 1000/25650 | loss -9.3434 | eta 20.3 min [nsf p1 chunk 6/10]
  batch 2000/25650 | loss -9.3461 | eta 19.6 min [nsf p1 chunk 6/10]
  batch 3000/25650 | loss -9.3434 | eta 45.1 min [nsf p1 chunk 6/10]
  batch 4000/25650 | loss -9.3455 | eta 224.8 min [nsf p1 chunk 6/10]
  batch 5000/25650 | loss -9.3541 | eta 218.8 min [nsf p1 chunk 6/10]
  batch 6000/25650 | loss -9.3542 | eta 204.5 min [nsf p1 chunk 6/10]
  batch 7000/25650 | loss -9.3632 | eta 196.5 min [nsf p1 chunk 6/10]
  batch 8000/25650 | loss -9.3720 | eta 118.6 min [nsf p1 chunk 6/10]
  batch 9000/25650 | loss -9.3811 | eta 165.0 min [nsf p1 chunk 6/10]
  batch 10000/25650 | loss -9.3865 | eta 73.0 min [nsf p1 chunk 6/10]
  batch 11000/25650 | loss -9.3953 | eta 11.6 min [nsf p1 chunk 6/10]
  batch 12000/25650 | loss -9.4007 | eta 18.6 min [nsf p1 chunk 6/10]
  batch 13000/25650 | loss -9.3995 | eta 16.2 min [nsf p1 chunk 6/10]
  batch 14000/25650 | loss -9.4023 | eta 63.9 min [nsf p1 chunk 6/10]
  batch 15000/25650 | loss -9.4029 | eta 112.0 min [nsf p1 chunk 6/10]
  batch 16000/25650 | loss -9.4040 | eta 96.9 min [nsf p1 chunk 6/10]
  batch 17000/25650 | loss -9.4100 | eta 60.2 min [nsf p1 chunk 6/10]
  batch 18000/25650 | loss -9.4132 | eta 10.5 min [nsf p1 chunk 6/10]
  batch 19000/25650 | loss -9.4155 | eta 7.3 min [nsf p1 chunk 6/10]
  batch 20000/25650 | loss -9.4202 | eta 9.9 min [nsf p1 chunk 6/10]
  batch 21000/25650 | loss -9.4206 | eta 3.7 min [nsf p1 chunk 6/10]
  batch 22000/25650 | loss -9.4225 | eta 2.9 min [nsf p1 chunk 6/10]
  batch 23000/25650 | loss -9.4270 | eta 21.3 min [nsf p1 chunk 6/10]
  batch 24000/25650 | loss -9.4295 | eta 2.9 min [nsf p1 chunk 6/10]
  batch 25000/25650 | loss -9.4300 | eta 0.7 min [nsf p1 chunk 6/10]
[nsf|p1] chunk 6/10 | train -9.4314 | val -8.4734
  batch 1000/25650 | loss -9.5075 | eta 78.9 min [nsf p1 chunk 7/10]
  batch 2000/25650 | loss -9.5050 | eta 19.6 min [nsf p1 chunk 7/10]
  batch 3000/25650 | loss -9.4994 | eta 18.8 min [nsf p1 chunk 7/10]
  batch 4000/25650 | loss -9.5023 | eta 49.1 min [nsf p1 chunk 7/10]
  batch 5000/25650 | loss -9.4978 | eta 16.9 min [nsf p1 chunk 7/10]
  batch 6000/25650 | loss -9.5037 | eta 16.1 min [nsf p1 chunk 7/10]
  batch 7000/25650 | loss -9.5096 | eta 15.2 min [nsf p1 chunk 7/10]
  batch 8000/25650 | loss -9.5081 | eta 14.5 min [nsf p1 chunk 7/10]
  batch 9000/25650 | loss -9.5117 | eta 13.4 min [nsf p1 chunk 7/10]
  batch 10000/25650 | loss -9.5131 | eta 15.7 min [nsf p1 chunk 7/10]
  batch 11000/25650 | loss -9.5156 | eta 19.5 min [nsf p1 chunk 7/10]
  batch 12000/25650 | loss -9.5203 | eta 117.9 min [nsf p1 chunk 7/10]
  batch 13000/25650 | loss -9.5230 | eta 134.0 min [nsf p1 chunk 7/10]
  batch 14000/25650 | loss -9.5281 | eta 123.4 min [nsf p1 chunk 7/10]
  batch 15000/25650 | loss -9.5287 | eta 112.7 min [nsf p1 chunk 7/10]
  batch 16000/25650 | loss -9.5279 | eta 102.2 min [nsf p1 chunk 7/10]
  batch 17000/25650 | loss -9.5291 | eta 91.6 min [nsf p1 chunk 7/10]
  batch 18000/25650 | loss -9.5306 | eta 81.0 min [nsf p1 chunk 7/10]
  batch 19000/25650 | loss -9.5327 | eta 35.6 min [nsf p1 chunk 7/10]
  batch 20000/25650 | loss -9.5355 | eta 6.1 min [nsf p1 chunk 7/10]
  batch 21000/25650 | loss -9.5385 | eta 41.4 min [nsf p1 chunk 7/10]
  batch 22000/25650 | loss -9.5406 | eta 4.2 min [nsf p1 chunk 7/10]
  batch 23000/25650 | loss -9.5422 | eta 12.4 min [nsf p1 chunk 7/10]
  batch 24000/25650 | loss -9.5433 | eta 17.5 min [nsf p1 chunk 7/10]
  batch 25000/25650 | loss -9.5435 | eta 2.3 min [nsf p1 chunk 7/10]
[nsf|p1] chunk 7/10 | train -9.5428 | val -8.4367
  batch 1000/25650 | loss -9.5492 | eta 37.3 min [nsf p1 chunk 8/10]
  batch 2000/25650 | loss -9.5673 | eta 68.7 min [nsf p1 chunk 8/10]
  batch 3000/25650 | loss -9.5604 | eta 64.1 min [nsf p1 chunk 8/10]
  batch 4000/25650 | loss -9.5728 | eta 81.1 min [nsf p1 chunk 8/10]
  batch 5000/25650 | loss -9.5821 | eta 51.9 min [nsf p1 chunk 8/10]
  batch 6000/25650 | loss -9.5861 | eta 28.0 min [nsf p1 chunk 8/10]
  batch 7000/25650 | loss -9.5936 | eta 15.1 min [nsf p1 chunk 8/10]
  batch 8000/25650 | loss -9.5945 | eta 14.3 min [nsf p1 chunk 8/10]
  batch 9000/25650 | loss -9.5933 | eta 13.5 min [nsf p1 chunk 8/10]
  batch 10000/25650 | loss -9.5955 | eta 18.8 min [nsf p1 chunk 8/10]
  batch 11000/25650 | loss -9.5998 | eta 12.0 min [nsf p1 chunk 8/10]
  batch 12000/25650 | loss -9.6066 | eta 11.1 min [nsf p1 chunk 8/10]
  batch 13000/25650 | loss -9.6110 | eta 10.2 min [nsf p1 chunk 8/10]
  batch 14000/25650 | loss -9.6115 | eta 20.7 min [nsf p1 chunk 8/10]
  batch 15000/25650 | loss -9.6146 | eta 41.3 min [nsf p1 chunk 8/10]
  batch 16000/25650 | loss -9.6154 | eta 22.9 min [nsf p1 chunk 8/10]
  batch 17000/25650 | loss -9.6171 | eta 10.0 min [nsf p1 chunk 8/10]
