[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s0 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s0/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.2753 | eta 10.5 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -1.0602 | eta 9.3 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.9114 | eta 8.6 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.4911 | eta 8.1 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.9530 | eta 7.9 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.3320 | eta 7.6 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.6460 | eta 8.2 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -3.9064 | eta 6.9 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.1250 | eta 6.2 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.3148 | eta 5.8 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.4817 | eta 5.4 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.6285 | eta 6.4 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -4.7568 | eta 4.5 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -4.8735 | eta 3.9 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -4.9811 | eta 4.0 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.0810 | eta 3.6 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.1731 | eta 3.1 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.2552 | eta 2.7 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.3324 | eta 2.4 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.4051 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.4707 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -5.5331 | eta 1.4 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -5.5956 | eta 1.0 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -5.6519 | eta 0.8 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -5.7036 | eta 0.2 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -5.7374 | val -6.5286
  saved best (-6.5286) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s0/nle/standard_t/nsf
  batch 1000/25650 | loss -7.0585 | eta 20.0 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.1080 | eta 11.1 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -7.1261 | eta 9.2 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -7.1248 | eta 8.1 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -7.1478 | eta 8.2 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -7.1622 | eta 7.3 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -7.1725 | eta 7.1 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -7.1898 | eta 6.7 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -7.1993 | eta 6.4 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -7.2099 | eta 6.0 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -7.2221 | eta 5.5 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -7.2333 | eta 5.3 min [nsf p1 chunk 2/10]
  batch 13000/25650 | loss -7.2462 | eta 4.8 min [nsf p1 chunk 2/10]
  batch 14000/25650 | loss -7.2570 | eta 4.5 min [nsf p1 chunk 2/10]
  batch 15000/25650 | loss -7.2697 | eta 4.1 min [nsf p1 chunk 2/10]
  batch 16000/25650 | loss -7.2848 | eta 3.8 min [nsf p1 chunk 2/10]
  batch 17000/25650 | loss -7.2984 | eta 3.4 min [nsf p1 chunk 2/10]
  batch 18000/25650 | loss -7.3137 | eta 2.7 min [nsf p1 chunk 2/10]
  batch 19000/25650 | loss -7.3267 | eta 2.5 min [nsf p1 chunk 2/10]
  batch 20000/25650 | loss -7.3367 | eta 2.2 min [nsf p1 chunk 2/10]
  batch 21000/25650 | loss -7.3467 | eta 1.7 min [nsf p1 chunk 2/10]
  batch 22000/25650 | loss -7.3561 | eta 1.4 min [nsf p1 chunk 2/10]
  batch 23000/25650 | loss -7.3643 | eta 1.0 min [nsf p1 chunk 2/10]
  batch 24000/25650 | loss -7.3746 | eta 0.6 min [nsf p1 chunk 2/10]
  batch 25000/25650 | loss -7.3833 | eta 0.3 min [nsf p1 chunk 2/10]
[nsf|p1] chunk 2/10 | train -7.3893 | val -7.3306
  saved best (-7.3306) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s0/nle/standard_t/nsf
  batch 1000/25650 | loss -7.6305 | eta 10.5 min [nsf p1 chunk 3/10]
  batch 2000/25650 | loss -7.6378 | eta 9.9 min [nsf p1 chunk 3/10]
  batch 3000/25650 | loss -7.6531 | eta 9.7 min [nsf p1 chunk 3/10]
  batch 4000/25650 | loss -7.6541 | eta 9.6 min [nsf p1 chunk 3/10]
  batch 5000/25650 | loss -7.6580 | eta 8.5 min [nsf p1 chunk 3/10]
  batch 6000/25650 | loss -7.6695 | eta 7.9 min [nsf p1 chunk 3/10]
  batch 7000/25650 | loss -7.6790 | eta 7.2 min [nsf p1 chunk 3/10]
  batch 8000/25650 | loss -7.6804 | eta 6.9 min [nsf p1 chunk 3/10]
  batch 9000/25650 | loss -7.6865 | eta 6.4 min [nsf p1 chunk 3/10]
  batch 10000/25650 | loss -7.6991 | eta 6.0 min [nsf p1 chunk 3/10]
  batch 11000/25650 | loss -7.7051 | eta 5.9 min [nsf p1 chunk 3/10]
  batch 12000/25650 | loss -7.7105 | eta 5.0 min [nsf p1 chunk 3/10]
  batch 13000/25650 | loss -7.7193 | eta 4.9 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -7.7261 | eta 4.5 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -7.7313 | eta 4.1 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -7.7349 | eta 3.6 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -7.7393 | eta 3.4 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -7.7448 | eta 3.0 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -7.7486 | eta 2.6 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -7.7493 | eta 2.1 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -7.7559 | eta 1.8 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -7.7605 | eta 1.5 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -7.7652 | eta 1.0 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -7.7714 | eta 0.6 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -7.7770 | eta 0.2 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -7.7798 | val -6.5302
  batch 1000/25650 | loss -7.9774 | eta 9.3 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -7.9544 | eta 8.7 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -7.9459 | eta 22.8 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -7.9381 | eta 9.1 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -7.9472 | eta 7.9 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -7.9553 | eta 7.4 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -7.9671 | eta 7.2 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -7.9649 | eta 6.9 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -7.9661 | eta 6.4 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -7.9671 | eta 5.9 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -7.9712 | eta 5.5 min [nsf p1 chunk 4/10]
  batch 12000/25650 | loss -7.9748 | eta 5.1 min [nsf p1 chunk 4/10]
  batch 13000/25650 | loss -7.9778 | eta 4.7 min [nsf p1 chunk 4/10]
