[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1_jitter/seed_s1 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1_jitter/seed_s1/nle/standard_t/nsf =====
  batch 13000/25650 | loss -8.4458 | eta 5.4 min [nsf p1 chunk 3/10]
  batch 14000/25650 | loss -8.4558 | eta 5.1 min [nsf p1 chunk 3/10]
  batch 15000/25650 | loss -8.4639 | eta 5.3 min [nsf p1 chunk 3/10]
  batch 16000/25650 | loss -8.4733 | eta 4.1 min [nsf p1 chunk 3/10]
  batch 17000/25650 | loss -8.4795 | eta 10.5 min [nsf p1 chunk 3/10]
  batch 18000/25650 | loss -8.4863 | eta 3.5 min [nsf p1 chunk 3/10]
  batch 19000/25650 | loss -8.4906 | eta 7.7 min [nsf p1 chunk 3/10]
  batch 20000/25650 | loss -8.4943 | eta 2.3 min [nsf p1 chunk 3/10]
  batch 21000/25650 | loss -8.5029 | eta 2.0 min [nsf p1 chunk 3/10]
  batch 22000/25650 | loss -8.5096 | eta 1.5 min [nsf p1 chunk 3/10]
  batch 23000/25650 | loss -8.5170 | eta 1.9 min [nsf p1 chunk 3/10]
  batch 24000/25650 | loss -8.5237 | eta 1.0 min [nsf p1 chunk 3/10]
  batch 25000/25650 | loss -8.5295 | eta 0.4 min [nsf p1 chunk 3/10]
[nsf|p1] chunk 3/10 | train -8.5327 | val -7.6685
  batch 1000/25650 | loss -8.7160 | eta 18.4 min [nsf p1 chunk 4/10]
  batch 2000/25650 | loss -8.6876 | eta 11.0 min [nsf p1 chunk 4/10]
  batch 3000/25650 | loss -8.6887 | eta 10.8 min [nsf p1 chunk 4/10]
  batch 4000/25650 | loss -8.6982 | eta 9.0 min [nsf p1 chunk 4/10]
  batch 5000/25650 | loss -8.7109 | eta 8.1 min [nsf p1 chunk 4/10]
  batch 6000/25650 | loss -8.7204 | eta 8.3 min [nsf p1 chunk 4/10]
  batch 7000/25650 | loss -8.7341 | eta 8.0 min [nsf p1 chunk 4/10]
  batch 8000/25650 | loss -8.7441 | eta 8.1 min [nsf p1 chunk 4/10]
  batch 9000/25650 | loss -8.7463 | eta 7.2 min [nsf p1 chunk 4/10]
  batch 10000/25650 | loss -8.7471 | eta 8.2 min [nsf p1 chunk 4/10]
  batch 11000/25650 | loss -8.7537 | eta 7.4 min [nsf p1 chunk 4/10]
  batch 12000/25650 | loss -8.7615 | eta 8.0 min [nsf p1 chunk 4/10]
  batch 13000/25650 | loss -8.7614 | eta 5.7 min [nsf p1 chunk 4/10]
  batch 14000/25650 | loss -8.7631 | eta 5.0 min [nsf p1 chunk 4/10]
  batch 15000/25650 | loss -8.7670 | eta 4.6 min [nsf p1 chunk 4/10]
  batch 16000/25650 | loss -8.7722 | eta 4.1 min [nsf p1 chunk 4/10]
  batch 17000/25650 | loss -8.7775 | eta 3.8 min [nsf p1 chunk 4/10]
  batch 18000/25650 | loss -8.7816 | eta 3.5 min [nsf p1 chunk 4/10]
  batch 19000/25650 | loss -8.7850 | eta 3.0 min [nsf p1 chunk 4/10]
  batch 20000/25650 | loss -8.7867 | eta 2.8 min [nsf p1 chunk 4/10]
  batch 21000/25650 | loss -8.7920 | eta 2.0 min [nsf p1 chunk 4/10]
