[seed] global seed=42 deterministic=True
Stage2 arm=cnn_vmim_/n1/seed_s3 families=['nsf'] rows=9,120,000 t_dim=4 n_params=4 device=cpu split_seed=42 init_seed=42 seed_subdir=False
[t-scaling] STANDARDIZED: per-dim mean/std removed. outputs -> {arm}/nle/standard_t/<model>/

===== NLE family 'nsf' -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf =====
  batch 1000/25650 | loss 0.3258 | eta 11.3 min [nsf p1 chunk 1/10]
  batch 2000/25650 | loss -1.0008 | eta 8.7 min [nsf p1 chunk 1/10]
  batch 3000/25650 | loss -1.8453 | eta 8.3 min [nsf p1 chunk 1/10]
  batch 4000/25650 | loss -2.4829 | eta 7.8 min [nsf p1 chunk 1/10]
  batch 5000/25650 | loss -2.9940 | eta 7.6 min [nsf p1 chunk 1/10]
  batch 6000/25650 | loss -3.4154 | eta 7.1 min [nsf p1 chunk 1/10]
  batch 7000/25650 | loss -3.7597 | eta 6.8 min [nsf p1 chunk 1/10]
  batch 8000/25650 | loss -4.0548 | eta 6.5 min [nsf p1 chunk 1/10]
  batch 9000/25650 | loss -4.3073 | eta 6.1 min [nsf p1 chunk 1/10]
  batch 10000/25650 | loss -4.5253 | eta 5.7 min [nsf p1 chunk 1/10]
  batch 11000/25650 | loss -4.7228 | eta 5.4 min [nsf p1 chunk 1/10]
  batch 12000/25650 | loss -4.8962 | eta 5.0 min [nsf p1 chunk 1/10]
  batch 13000/25650 | loss -5.0541 | eta 4.4 min [nsf p1 chunk 1/10]
  batch 14000/25650 | loss -5.1981 | eta 3.3 min [nsf p1 chunk 1/10]
  batch 15000/25650 | loss -5.3307 | eta 2.9 min [nsf p1 chunk 1/10]
  batch 16000/25650 | loss -5.4583 | eta 2.7 min [nsf p1 chunk 1/10]
  batch 17000/25650 | loss -5.5736 | eta 2.4 min [nsf p1 chunk 1/10]
  batch 18000/25650 | loss -5.6793 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 19000/25650 | loss -5.7773 | eta 1.8 min [nsf p1 chunk 1/10]
  batch 20000/25650 | loss -5.8698 | eta 2.1 min [nsf p1 chunk 1/10]
  batch 21000/25650 | loss -5.9567 | eta 1.7 min [nsf p1 chunk 1/10]
  batch 22000/25650 | loss -6.0368 | eta 1.3 min [nsf p1 chunk 1/10]
  batch 23000/25650 | loss -6.1145 | eta 0.8 min [nsf p1 chunk 1/10]
  batch 24000/25650 | loss -6.1874 | eta 0.4 min [nsf p1 chunk 1/10]
  batch 25000/25650 | loss -6.2578 | eta 0.2 min [nsf p1 chunk 1/10]
[nsf|p1] chunk 1/10 | train -6.3012 | val -7.6977
  saved best (-7.6977) -> /gscratch/ddehiwalage-don/sbi_master/cnn_vmim_/n1/seed_s3/nle/standard_t/nsf
  batch 1000/25650 | loss -7.9733 | eta 6.8 min [nsf p1 chunk 2/10]
  batch 2000/25650 | loss -7.9936 | eta 6.4 min [nsf p1 chunk 2/10]
  batch 3000/25650 | loss -8.0176 | eta 7.9 min [nsf p1 chunk 2/10]
  batch 4000/25650 | loss -8.0231 | eta 7.8 min [nsf p1 chunk 2/10]
  batch 5000/25650 | loss -8.0446 | eta 7.4 min [nsf p1 chunk 2/10]
  batch 6000/25650 | loss -8.0708 | eta 5.3 min [nsf p1 chunk 2/10]
  batch 7000/25650 | loss -8.0891 | eta 5.0 min [nsf p1 chunk 2/10]
  batch 8000/25650 | loss -8.1105 | eta 4.8 min [nsf p1 chunk 2/10]
  batch 9000/25650 | loss -8.1185 | eta 6.2 min [nsf p1 chunk 2/10]
  batch 10000/25650 | loss -8.1387 | eta 5.5 min [nsf p1 chunk 2/10]
  batch 11000/25650 | loss -8.1597 | eta 4.9 min [nsf p1 chunk 2/10]
  batch 12000/25650 | loss -8.1765 | eta 4.5 min [nsf p1 chunk 2/10]
